street_edge_id;description;x1;y1;x2;y2;geom
59;South Oradell;-74.0383385;40.9475059;-74.038744;40.946748;0102000020E610000004000000A33A1DC87A8252C0D6C6D8092F794440C26D6DE1798252C0A051BAF42F79444021904B1C798252C07099D365317944405FEB5223748252C02FA292DF47794440
60;South Oradell;-74.037948;40.948169;-74.0383385;40.9475059;0102000020E6100000040000005FEB5223748252C02FA292DF4779444092B245D26E8252C0EBA9D55757794440AA0EB9196E8252C0AE0FEB8D5A794440B6BC72BD6D8252C05F0A0F9A5D794440
61;South Oradell;-74.0311077;40.945053;-74.030702;40.944949;0102000020E610000002000000FF7A8505F78152C0A7B1BD16F4784440D88926ABFD8152C04CFE277FF7784440
62;South Oradell;-74.029657;40.944698;-74.0288309;40.9444964;0102000020E61000000300000050278F5DD88152C049980E42E57844404649A35DE08152C04DA5FA29E97844403D4679E6E58152C05E4C33DDEB784440
63;South Oradell;-74.030702;40.944949;-74.029657;40.944698;0102000020E6100000020000003D4679E6E58152C05E4C33DDEB784440FF7A8505F78152C0A7B1BD16F4784440
64;South Oradell;-74.029802;40.942352;-74.028851;40.942117;0102000020E6100000030000003E5DDDB1D88152C0B900344A977844402E7D9EF5DF8152C0EC3598E19A784440BFD6A546E88152C0FCA886FD9E784440
65;South Oradell;-74.027995;40.941905;-74.027207;40.941704;0102000020E6100000030000003ACE6DC2BD8152C09641B5C189784440787AA52CC38152C0B220DE848C784440E65C8AABCA8152C02D78D15790784440
66;South Oradell;-74.028851;40.942117;-74.027995;40.941905;0102000020E610000002000000E65C8AABCA8152C02D78D157907844403E5DDDB1D88152C0B900344A97784440
67;East Oradell;-74.0268297;40.9538974;-74.0256309;40.949388;0102000020E6100000190000001751C9EFA38152C0809BC58B8579444011018750A58152C068C988B086794440E63686A5A68152C049F25CDF8779444004C0C293A78152C0EA2BA3EC88794440C7B8E2E2A88152C078B240608A794440C7B2AA6FAA8152C05F2283818C7944402B44D14DAC8152C0886DE6EB8D79444089D00836AE8152C0587380608E794440A6E37B90AF8152C0E72D686B8E794440EC8909C5B18152C08D5830968E79444063E5E14EB38152C0FE55911B8F7944406E484849B48152C0B6476FB88F7944408C3045B9B48152C009E46D009179444097AD50FFB48152C00DA9A278957944401A3048FAB48152C0DD41EC4CA1794440791EDC9DB58152C0DD5ED218AD79444043A9BD88B68152C03C84F1D3B87944408A558330B78152C0C6A4BF97C2794440072FB07DB78152C0F857EAB4C97944406765FB90B78152C056B60F79CB794440618E1EBFB78152C0E7C75F5AD47944400774CBB3B78152C021DD19B7E2794440617715ADB78152C0B1080FE4EA794440D2BC2DA2B78152C001906EDFFE794440EF03EB93B78152C0A65E5C4F197A4440
68;East Oradell;-74.026835;40.957084;-74.0268297;40.9538974;0102000020E610000004000000EF03EB93B78152C0A65E5C4F197A4440F5F1D077B78152C03D5FB35C367A4440729DEBA0B78152C030F488D1737A4440D8D825AAB78152C02FC37FBA817A4440
69;North Oradell;-74.03681;40.965187;-74.03755048116994;40.96213212907938;0102000020E61000000C000000BC24223A678252C0D4694625277B44405BECF659658252C0E27492AD2E7B444023D8B8FE5D8252C044A4A65D4C7B4440CAC0012D5D8252C0BF29AC54507B444006F357C85C8252C0CA6FD1C9527B44403C4ED1915C8252C07C9E3F6D547B4440003620425C8252C0DFFB1BB4577B4440603E59315C8252C0088F368E587B4440EFCA2E185C8252C0E350BF0B5B7B44401F69705B5B8252C039EFFFE3847B4440C537143E5B8252C0137D3ECA887B44409C8A54185B8252C01EC3633F8B7B4440
70;Central Oradell;-74.03755048116994;40.96213212907938;-74.037562;40.962109;0102000020E610000002000000A164726A678252C0F8174163267B4440BC24223A678252C0D4694625277B4440
71;North Oradell;-74.036612;40.967023;-74.03681;40.965187;0102000020E61000000D0000009C8A54185B8252C01EC3633F8B7B4440A8380EBC5A8252C03A4030478F7B444079E8BB5B598252C058AA0B78997B4440CD5CE0F2588252C055DAE21A9F7B4440A3AF20CD588252C0CA6E66F4A37B4440859675FF588252C06E8786C5A87B44408B53AD85598252C012A0A696AD7B44405BB56B425A8252C0408864C8B17B4440074147AB5A8252C0E5D4CE30B57B444090F63FC05A8252C05A9D9CA1B87B4440C651B9895A8252C0CF656A12BC7B44404F2157EA598252C09888B7CEBF7B444009A9DBD9578252C06ABDDF68C77B4440
72;West Oradell;-74.047154;40.962996;-74.047535;40.961987;0102000020E610000009000000959A3DD00A8352C0AD16D863227B4440FBAD9D28098352C03CA3AD4A227B4440901150E1088352C07235B22B2D7B44403DB7D095088352C04606B98B307B4440AF44A0FA078352C0C18BBE82347B44409DF3531C078352C0FB213658387B4440AAD55757058352C028D6A9F23D7B4440A41820D1048352C0B5FAEAAA407B44400AF83592048352C0E316F373437B4440
73;South Oradell;-74.029657;40.944698;-74.03015;40.943628;0102000020E6100000020000005DFE43FAED8152C081CB63CDC87844403D4679E6E58152C05E4C33DDEB784440
74;West Oradell;-74.04248015557336;40.9635006742751;-74.042481;40.963484;0102000020E610000002000000E36C3A02B88252C0111C9771537B4440A9BAAFFEB78252C0BFD776FD537B4440
75;East Oradell;-74.01922236752452;40.95690741603709;-74.019229;40.956888;0102000020E610000002000000A088450C3B8152C0A9F7544E7B7A4440A6F773F03A8152C0EF9634F17B7A4440
76;South Oradell;-74.0429782;40.9487256;-74.042767;40.947815;0102000020E61000000A0000004696CCB1BC8252C041D47D0052794440E659492BBE8252C065AA605452794440569929ADBF8252C05EB9DE365379444044FAEDEBC08252C04C1AA3755479444079211D1EC28252C080272D5C56794440EA7AA2EBC28252C068976F7D587944406682E15CC38252C01F8315A75A794440902FA182C38252C0776682E15C794440AE484C50C38252C0B130444E5F79444038DCA227C08252C0627028D76F794440
77;Central Oradell;-74.0354092;40.9542285;-74.0317925;40.9534014;0102000020E61000000B00000084F068E3088252C0F57A9C0E097A4440E5F3E560118252C0770BC96E0B7A4440C50DAE6F168252C023D923D40C7A444053211E89178252C0357227220D7A4440B61F3A4E1B8252C0C92BC6AF0E7A4440EB5D72921C8252C004A09B470F7A4440DF7E0A911D8252C093E4B9BE0F7A444084FC2257208252C0397F130A117A444066FA809B208252C051EFF329117A4440B97F76D1218252C06E1C0CD0117A444090FEF224448252C0A034D428247A4440
78;South Oradell;-74.027552;40.947356;-74.02733;40.946327;0102000020E610000004000000C80C54C6BF8152C030293E3E21794440F8DEDFA0BD8152C014950D6B2A794440CD3CB9A6C08152C016F5EE343E7944401FBC7669C38152C0AED51EF642794440
79;South Oradell;-74.0326112;40.9443181;-74.0333864;40.9426275;0102000020E6100000020000006508B600238252C0B6679604A8784440EF5E494D168252C0AB425E6ADF784440
80;West Oradell;-74.03929569506055;40.96262519035963;-74.039299;40.962595;0102000020E610000002000000FEF0F3DF838252C085251E50367B4440274A17D2838252C040735F4D377B4440
81;South Oradell;-74.0433157;40.948808;-74.0429782;40.9487256;0102000020E61000000200000038DCA227C08252C0627028D76F794440D0B936AFC58252C07217618A72794440
82;South Oradell;-74.04433674969691;40.9490153497815;-74.0433157;40.948808;0102000020E610000004000000D0B936AFC58252C07217618A727944403A64B95BC88252C0A72A23E472794440E6B8AEF3CA8252C0952FC3DA73794440637DCE69D68252C0555BC15579794440
83;South Oradell;-74.0383385;40.9475059;-74.0366548;40.9469345;0102000020E61000000700000073CF5F8D588252C0207A5226357944401EC539EA688252C0C39A6FE93D7944404C998A436C8252C0399787F13F79444021FAFF826E8252C038ED73C6417944407925242D708252C090FEF22444794440314278B4718252C08FB00342467944405FEB5223748252C02FA292DF47794440
84;South Oradell;-74.0399581;40.9479384;-74.0383385;40.9475059;0102000020E6100000020000005FEB5223748252C02FA292DF47794440762D6BAC8E8252C0B04FA50B56794440
85;South Oradell;-74.0337732;40.9461566;-74.0315357;40.945535;0102000020E610000002000000040A50AE048252C0971C774A07794440CD5E1157298252C081F2D2A81B794440
86;South Oradell;-74.0366548;40.9469345;-74.0337732;40.9461566;0102000020E610000002000000CD5E1157298252C081F2D2A81B79444073CF5F8D588252C0207A522635794440
87;South Oradell;-74.0408864;40.948173;-74.0399581;40.9479384;0102000020E610000002000000762D6BAC8E8252C0B04FA50B567944407AB6FDE19D8252C0A0F99CBB5D794440
88;South Oradell;-74.0429782;40.9487256;-74.0408864;40.948173;0102000020E6100000030000007AB6FDE19D8252C0A0F99CBB5D794440B9B0C975AE8252C031DDDA786679444038DCA227C08252C0627028D76F794440
89;South Oradell;-74.0426722;40.9507565;-74.0429685;40.9499742;0102000020E6100000020000008690F3FEBF8252C09A852CC198794440B2DC2D24BB8252C0CEFA9463B2794440
90;South Oradell;-74.041872;40.9525346;-74.0426722;40.9507565;0102000020E610000002000000B2DC2D24BB8252C0CEFA9463B27944408FA7E507AE8252C07BA75DA7EC794440
91;South Oradell;-74.02352;40.9458295;-74.02319931350326;40.94580763634376;0102000020E6100000020000005032F9187C8152C0A63381391079444053B3075A818152C0C80BE9F010794440
92;North Oradell;-74.037074;40.96715;-74.036612;40.967023;0102000020E61000000400000009A9DBD9578252C06ABDDF68C77B44408B6D52D1588252C02F8B89CDC77B4440FFCD8B135F8252C0E542E55FCB7B44400B62A06B5F8252C0C7293A92CB7B4440
93;North Oradell;-74.035189;40.966671;-74.033819;40.965457;0102000020E610000010000000F0BE2A172A8252C0DE585018947B4440DE1FEF552B8252C066C0594A967B4440906802452C8252C011FE45D0987B4440EF5696E82C8252C0F27C06D49B7B4440D13DEB1A2D8252C0910C39B69E7B444001C287122D8252C0C05C8B16A07B4440A2ED98BA2B8252C0F2B6D26BB37B4440555051F52B8252C0800F5EBBB47B444043CBBA7F2C8252C08B89CDC7B57B4440E3A8DC442D8252C0A3B1F677B67B4440ACE5CE4C308252C0D20149D8B77B444063B7CF2A338252C0CB10C7BAB87B44404436902E368252C0D1CDFE40B97B44409BFF571D398252C08330B77BB97B4440C901BB9A3C8252C00CCC0A45BA7B4440740B5D89408252C0ED7E15E0BB7B4440
94;North Oradell;-74.036612;40.967023;-74.035189;40.966671;0102000020E610000003000000740B5D89408252C0ED7E15E0BB7B4440A37895B54D8252C0D252793BC27B444009A9DBD9578252C06ABDDF68C77B4440
95;West Oradell;-74.03846263516134;40.96238944999964;-74.038466;40.962362;0102000020E6100000020000008200193A768252C0E27492AD2E7B4440B308FC2B768252C0C7E1D6932F7B4440
96;Central Oradell;-74.0408432;40.9530269;-74.040269;40.954417;0102000020E61000000A000000BA826DC4938252C08BDF14562A7A4440D9B5BDDD928252C0D4F36E2C287A4440D9CF6229928252C0F931E6AE257A44408C4CC0AF918252C0892650C4227A44404A5D328E918252C0CC7D7214207A4440448655BC918252C0BC7A15191D7A44403656629E958252C0047289230F7A44403BC20E08998252C06EEBB82B057A4440810C78F49A8252C0BE52F1DA007A4440E510CC2C9D8252C0A8DA13C9FC794440
97;South Oradell;-74.0396463;40.948626;-74.037948;40.948169;0102000020E610000003000000B6BC72BD6D8252C05F0A0F9A5D79444085ED27637C8252C061C3D32B65794440137AA290898252C05111A7936C794440
98;South Oradell;-74.0397879;40.9486684;-74.0396463;40.948626;0102000020E610000002000000137AA290898252C05111A7936C794440B2518CE28B8252C0D45F54F76D794440
99;South Oradell;-74.0414462;40.949088;-74.0397879;40.9486684;0102000020E610000004000000B2518CE28B8252C0D45F54F76D7944408F22C6C6978252C0719B5F8374794440DC24ABC7A28252C0C1C991297A794440C862F60DA78252C0568330B77B794440
100;South Oradell;-74.02588278573529;40.94847624670504;-74.026334;40.946078;0102000020E6100000030000007731CD74AF8152C088BB7A1519794440BF73396FAD8152C04782BA922E794440CC904510A88152C0C4506EAB67794440
101;East Oradell;-74.0258177;40.9488222;-74.02588278573529;40.94847624670504;0102000020E610000002000000CC904510A88152C0C4506EAB677944401C4A48FFA68152C0015C7F0173794440
102;South Oradell;-74.031517;40.942098;-74.031656;40.94179;0102000020E610000002000000382EE3A6068252C094D920938C7844402711E15F048252C042D0D1AA96784440
103;West Oradell;-74.046314;40.961033;-74.044284;40.960475;0102000020E6100000030000001CEF8E8CD58252C014D044D8F07A44402F336C94F58252C059FD1186017B444034D6FECEF68252C03AB01C21037B4440
104;Central Oradell;-74.036333;40.958124;-74.034463;40.957615;0102000020E610000002000000037B4CA4348252C05B94D920937A4440FFB0A547538252C0A0C1A6CEA37A4440
105;Central Oradell;-74.03964714429436;40.959039611246524;-74.036333;40.958124;0102000020E610000004000000FFB0A547538252C0A0C1A6CEA37A44405D8B16A06D8252C0EC134031B27A4440554CA59F708252C09E42AED4B37A4440F1072D94898252C0AAEF5ACFC17A4440
106;West Oradell;-74.040685;40.9593303;-74.03964714429436;40.959039611246524;0102000020E610000002000000F1072D94898252C0AAEF5ACFC17A4440041C42959A8252C0EB47D455CB7A4440
107;West Oradell;-74.044284;40.960475;-74.040685;40.9593303;0102000020E610000008000000041C42959A8252C0EB47D455CB7A4440EE9B5665BA8252C0DCE6D720DD7A44403B4D0B03BB8252C0EE0912DBDD7A4440C901BB9ABC8252C038A91E1FE37A4440C3B41435BD8252C01A76CE05E47A4440B0E76B96CB8252C046240A2DEB7A4440D1217024D08252C09259BDC3ED7A44401CEF8E8CD58252C014D044D8F07A4440
108;East Oradell;-74.025513;40.951291;-74.024773;40.951288;0102000020E610000003000000B9347EE1958152C0E38920CEC379444003B4AD669D8152C0439259BDC3794440DD274701A28152C054FD4AE7C3794440
109;Central Oradell;-74.03601;40.958764;-74.034315;40.958336;0102000020E610000002000000C9B08A37328252C02C4A09C1AA7A44400E15E3FC4D8252C0844A5CC7B87A4440
110;Central Oradell;-74.037627;40.959204;-74.03601;40.958764;0102000020E6100000020000000E15E3FC4D8252C0844A5CC7B87A4440959C137B688252C0A0185932C77A4440
111;West Oradell;-74.040351;40.959944;-74.0393672;40.9596924;0102000020E6100000020000003F2201FE848252C0211C5833D77A444019575C1C958252C0E7FEEA71DF7A4440
112;West Oradell;-74.041486;40.960265;-74.040351;40.959944;0102000020E61000000200000019575C1C958252C0E7FEEA71DF7A44407B4FE5B4A78252C0293FA9F6E97A4440
113;West Oradell;-74.0425042;40.9605807;-74.041486;40.960265;0102000020E6100000030000007B4FE5B4A78252C0293FA9F6E97A44408A3BDEE4B78252C03C2F151BF37A4440543C8963B88252C09BD5F14EF47A4440
152;Central Oradell;-74.03601;40.958764;-74.036333;40.958124;0102000020E610000002000000FFB0A547538252C0A0C1A6CEA37A44400E15E3FC4D8252C0844A5CC7B87A4440
114;Central Oradell;-74.034354;40.958145;-74.030992;40.957197;0102000020E610000006000000029CDEC5FB8152C0276A696E857A4440B772405C038252C0BA8D61A9897A44401B6327BC048252C0C5ABAC6D8A7A44401FA16648158252C0615111A7937A44401E537765178252C07E3672DD947A4440279F1EDB328252C0B8E9CF7EA47A4440
115;East Oradell;-74.026835;40.957084;-74.025532;40.957081;0102000020E6100000030000001840F850A28152C0BE4F55A1817A4440721EA919AD8152C07689EAAD817A4440D8D825AAB78152C02FC37FBA817A4440
116;East Oradell;-74.019738;40.95287;-74.019842;40.951872;0102000020E61000000700000095456117458152C033FD12F1D679444066DB696B448152C0205ED72FD8794440A20DC006448152C0EAE8B81AD9794440F581E49D438152C067D65240DA794440A8FE4124438152C0DDD26A48DC794440252026E1428152C076A565A4DE794440431F2C63438152C075ABE7A4F7794440
117;West Oradell;-74.043887;40.961334;-74.044284;40.960475;0102000020E6100000020000001CEF8E8CD58252C014D044D8F07A44400D6E6B0BCF8252C0354415FE0C7B4440
118;South Oradell;-74.0310864;40.9498946;-74.0300043;40.9498132;0102000020E61000000300000052CF2797EB8152C091A79B7A937944408BDEA980FB8152C03CB775DC957944406DD6CF51FD8152C0D1D2702596794440
119;South Oradell;-74.0323714;40.9500425;-74.0310864;40.9498946;0102000020E6100000050000006DD6CF51FD8152C0D1D27025967944406C43C538FF8152C0BF1FC88B96794440149A7F4F078252C0B26BD67498794440AE2AFBAE088252C082435EC598794440D9147E5F128252C0B1A71DFE9A794440
120;West Oradell;-74.0504963;40.9557325;-74.05118387636657;40.955902556699165;0102000020E610000003000000ECC4BC98468352C0C597D5035B7A4440B7D5AC333E8352C0EC67565B567A44406B44D5543B8352C0B79C4B71557A4440
121;West Oradell;-74.0431471;40.9562045;-74.0422601;40.9559779;0102000020E6100000030000003EDBB463B48252C07119DC7B5D7A4440631C6D66BE8252C0BCE6FAE3627A4440B4DA0DECC28252C0DEE4B7E8647A4440
122;Central Oradell;-74.039826;40.955321;-74.039737;40.9553155;0102000020E6100000030000003CDC0E0D8B8252C052EE3EC7477A44402F2BB92F8C8252C0BD5C7AEA477A4440F4E159828C8252C04C1762F5477A4440
123;Central Oradell;-74.04132518557246;40.95572146287731;-74.039826;40.955321;0102000020E610000004000000F4E159828C8252C04C1762F5477A44408E194DD38C8252C0461273FF477A4440525788588E8252C093C3279D487A44403B226412A58252C05892B514557A4440
124;West Oradell;-74.0422601;40.9559779;-74.04132518557246;40.95572146287731;0102000020E6100000020000003B226412A58252C05892B514557A44403EDBB463B48252C07119DC7B5D7A4440
125;West Oradell;-74.0431901;40.9545393;-74.0434655;40.9537933;0102000020E61000000200000046408523C88252C06C521BE6157A4440B4C068A0C38252C0951F02582E7A4440
126;West Oradell;-74.042916;40.9553028;-74.0431901;40.9545393;0102000020E610000002000000B4C068A0C38252C0951F02582E7A4440691EC022BF8252C07CE3B55C477A4440
127;South Oradell;-74.029163;40.946898;-74.02811;40.948328;0102000020E61000000200000032ACE28DCC8152C0C7F0D8CF6279444035D07CCEDD8152C0EB5223F433794440
128;East Oradell;-74.009606;40.953363;-74.009832;40.952511;0102000020E610000004000000139D6516A18052C0460A65E1EB794440C1AA7AF99D8052C05A7F4B00FE7944405CE509849D8052C01CB1169F027A44401BF67B629D8052C0B51B7DCC077A4440
129;East Oradell;-74.0096048;40.9539192;-74.009606;40.953363;0102000020E6100000020000001BF67B629D8052C0B51B7DCC077A44409E78735D9D8052C064833B061A7A4440
130;West Oradell;-74.0500059094306;40.961046824016535;-74.047244;40.960304;0102000020E610000002000000AABBB20B068352C0E71BD13DEB7A44401D67FC4B338352C0B0891395037B4440
131;Central Oradell;-74.036477;40.957339;-74.034616;40.956869;0102000020E610000002000000C6FA0626378252C032C7F2AE7A7A44409983A0A3558252C0B91798158A7A4440
132;Central Oradell;-74.04000739749699;40.95832724880799;-74.036477;40.957339;0102000020E6100000040000009983A0A3558252C0B91798158A7A4440EBFD463B6E8252C05307793D987A4440D82AC1E2708252C0224F92AE997A444040F62F7B8F8252C07C3FA077AA7A4440
133;West Oradell;-74.041009;40.958602;-74.04000739749699;40.95832724880799;0102000020E61000000200000040F62F7B8F8252C07C3FA077AA7A4440DE7536E49F8252C0AAF06778B37A4440
134;West Oradell;-74.047244;40.960304;-74.041009;40.958602;0102000020E610000006000000DE7536E49F8252C0AAF06778B37A44404147AB5AD28252C043C9E4D4CE7A44404C153191F78252C04A141049E37A4440AF5B04C6FA8252C014B35E0CE57A44404C63C5BA028352C0A604696BE97A4440AABBB20B068352C0E71BD13DEB7A4440
135;East Oradell;-74.005018;40.95237;-74.003097;40.952363;0102000020E610000002000000CE6DC2BD328052C0D175E107E77944400C790437528052C084D89942E7794440
136;East Oradell;-74.005901;40.952375;-74.005018;40.95237;0102000020E6100000020000000C790437528052C084D89942E7794440E08096AE608052C096438B6CE7794440
137;East Oradell;-74.009832;40.952511;-74.005901;40.952375;0102000020E610000006000000E08096AE608052C096438B6CE77944403EAF78EA918052C06C7C26FBE7794440DD0A6135968052C05FCE6C57E87944409A999999998052C077F69507E979444086AC6EF59C8052C082700514EA794440139D6516A18052C0460A65E1EB794440
138;East Oradell;-74.011;40.952409;-74.009832;40.952511;0102000020E610000006000000139D6516A18052C0460A65E1EB79444065C39ACAA28052C0FF5D9F39EB794440041F8315A78052C0D00D4DD9E97944405BB4006DAB8052C0D6FECEF6E879444082C5E1CCAF8052C071395E81E879444062105839B48052C042B5C189E8794440
139;East Oradell;-74.013561;40.952471;-74.011;40.952409;0102000020E61000000400000062105839B48052C042B5C189E8794440F6622827DA8052C07DB3CD8DE9794440122EE411DC8052C0FF91E9D0E979444011E0F42EDE8052C0B8B1D991EA794440
140;East Oradell;-74.013831;40.952584;-74.013561;40.952471;0102000020E61000000400000011E0F42EDE8052C0B8B1D991EA794440588CBAD6DE8052C0AC0320EEEA7944405D15A8C5E08052C0ABCFD556EC794440F12A6B9BE28052C0B058C345EE794440
141;East Oradell;-74.017579;40.952349;-74.013831;40.952584;0102000020E61000000A000000F12A6B9BE28052C0B058C345EE794440BBB54C86E38052C09373620FED794440FC8A355CE48052C03A5CAB3DEC7944403D4679E6E58052C02EE23B31EB794440BFF04A92E78052C0292504ABEA7944406D585359148152C0AC0320EEEA79444089096AF8168152C0882D3D9AEA794440F33D23111A8152C05F9A22C0E9794440BC7A15191D8152C0304AD05FE87944402B86AB03208152C06CB07092E6794440
