lat,lon,query_lat,query_lon,pano_id,date,status
49.23969449999999,-122.972550705,49.23969449999999,-122.972550705,None,None,ZERO_RESULTS
49.239424799999995,-122.972550705,49.239424799999995,-122.972550705,None,None,ZERO_RESULTS
49.2388854,-122.972550705,49.2388854,-122.972550705,None,None,ZERO_RESULTS
49.23996419999999,-122.972550705,49.23996419999999,-122.972550705,None,None,ZERO_RESULTS
49.2391551,-122.972550705,49.2391551,-122.972550705,None,None,ZERO_RESULTS
49.24266119999996,-122.972550705,49.24266119999996,-122.972550705,None,None,ZERO_RESULTS
49.24180194747584,-122.9725899758349,49.24185209999997,-122.972550705,N3U2jhjLmzW4HT_B4loTTg,2023-05,
49.242930899999955,-122.972550705,49.242930899999955,-122.972550705,None,None,ZERO_RESULTS
49.24052208489337,-122.9730562382586,49.24050359999998,-122.972550705,twJGPgP8JMAw0A7hLkoT0w,2023-05,
49.24180194747584,-122.9725899758349,49.24158239999997,-122.972550705,N3U2jhjLmzW4HT_B4loTTg,2023-05,
49.24031775169346,-122.9730942722912,49.240233899999986,-122.972550705,hmG12J4ZB7aXUhnQiImJ8g,2023-05,
49.24180194747584,-122.9725899758349,49.242121799999964,-122.972550705,N3U2jhjLmzW4HT_B4loTTg,2023-05,
49.24373373155894,-122.9733017505662,49.24320059999995,-122.972550705,yoqYbx5rSWn0_3zFtPJ-vQ,2023-05,
49.24180397116423,-122.9727310967908,49.24239149999996,-122.972550705,_CRliUhzGYxXApLHhh2lzg,2023-05,
49.24373373155894,-122.9733017505662,49.24347029999995,-122.972550705,yoqYbx5rSWn0_3zFtPJ-vQ,2023-05,
49.24412353472636,-122.9724172223153,49.24400969999994,-122.972550705,BpsNhoqrbs8a-U1w8H87TA,2023-05,
49.24429348251034,-122.9724804674339,49.24427939999994,-122.972550705,7-SxJZ_C5sAF4o2JNFmPoA,2023-05,
49.24453983919328,-122.9729166249061,49.24481879999993,-122.972550705,7oJVCNf4fVF3BFGCthGy8w,2023-05,
49.24441478827316,-122.9726942566417,49.24454909999994,-122.972550705,CZqTNaFb_xgbjJu3rL8kWA,2023-05,
49.24399505228563,-122.9722050136381,49.243739999999946,-122.972550705,kI27fI62aI0gKlvVmbJW-w,2023-05,
49.24134696406851,-122.9730606965564,49.24131269999997,-122.972550705,U-AoCGufQmbgUL-cT6mBog,2023-05,
49.24618197403516,-122.9724968481194,49.24616729999992,-122.972550705,_sjzvEfW-CoBRk75QEwmKw,2023-05,
49.24590202548666,-122.972581228609,49.24589759999992,-122.972550705,CN8FewmCXHD-lpPLLZIaQQ,2023-05,
49.24537418338964,-122.9725850004941,49.24535819999993,-122.972550705,aE1MT9gFzpFPfFTwh_7HHQ,2023-05,
49.24519511115822,-122.9725777292385,49.24508849999993,-122.972550705,KUS5nLzSd2w8ct01O31v9w,2023-05,
49.24698076738304,-122.9718801957964,49.24697639999991,-122.972550705,uSTc4sKH3MnJPhH_80hPaQ,2023-05,
49.24079243270768,-122.9730527449058,49.24077329999998,-122.972550705,c61_79LimCpnX-9SFXDMbg,2023-05,
49.2478442224851,-122.9722783336672,49.2477854999999,-122.972550705,3M71xFjQ012cDblMZM3sbw,2023-05,
49.2476823386456,-122.9721429229305,49.2475157999999,-122.972550705,uBPq6ou9-NP38DaEvsmfAQ,2023-05,
49.2473507429122,-122.9719094718974,49.247246099999906,-122.972550705,Y17K03oqwOFGfx4b4D5Ksg,2023-05,
49.24560886125239,-122.9726792629211,49.245627899999924,-122.972550705,GfTivlx9nKyPMhiMkg4qKQ,2023-05,
49.24106525448566,-122.9730593648287,49.241042999999976,-122.972550705,JwkqNzJANqYwxp6_E8txtQ,2023-05,
49.24650168562134,-122.9728869453672,49.24670669999991,-122.972550705,yRWuY5WmZYj-2TBEfDY1dA,2023-05,
49.24638847746419,-122.9724097103208,49.246436999999915,-122.972550705,6IyJwCZlQN0bo74BKDjysg,2023-05,
