47.59484801315901,-122.3186270757568,2021-08
47.59506907511921,-122.3183559464119,2023-08
47.59547732561404,-122.3185808191356,2023-08
47.59558352290329,-122.3187504741635,2023-08
47.59581182662534,-122.3186611962453,2023-08
47.59582344047677,-122.3185213818279,2023-08
47.59686211390975,-122.3184046836542,2019-05
47.59686211390975,-122.3184046836542,2019-05
47.59701302024796,-122.3185390914028,2019-05
47.59727397680776,-122.3186316760565,2019-05
47.59750436537611,-122.3187255155692,2021-07
47.59750436537611,-122.3187255155692,2021-07
47.59817409346439,-122.3186256251208,2019-05
47.59834252270113,-122.3186041242916,2021-12
47.59885741728436,-122.3188084437651,2019-06
47.59885741728436,-122.3188084437651,2019-06
47.59919541664552,-122.3186092628762,2023-02
47.59932178152901,-122.3189104961531,2021-11
47.59973689253134,-122.3186337064938,2021-11
47.6000627830812,-122.3186067151814,2023-02
47.60009971336206,-122.3187296249582,2023-02
47.60085898854516,-122.3184206663835,2021-07
47.60089309208663,-122.3185427359997,2021-07
47.60091597197097,-122.3186744296546,2021-07
47.60169287938141,-122.3186866100814,2023-02
47.60169287938141,-122.3186866100814,2023-02
47.60169287938141,-122.3186866100814,2023-02
47.60218889310698,-122.3184191982352,2023-05
47.60243140682696,-122.3185977574888,2023-05
47.60258000635766,-122.3187528258312,2023-05
47.60276365557717,-122.318947359859,2023-05
47.60351877758947,-122.3185909281924,2019-05
47.60351877758947,-122.3185909281924,2019-05
47.60372677858088,-122.3187612475522,2019-05
47.60404389165034,-122.3187611385107,2019-05
47.60436089934889,-122.3186568113204,2019-05
47.60460634941222,-122.3187594807509,2019-05
47.60479290682436,-122.3187585186118,2019-05
47.60504733205921,-122.3187570705239,2019-05
47.60533480221914,-122.3187563474561,2019-05
47.60565176815933,-122.318756471832,2019-05
47.60590309310712,-122.3187574484101,2019-05
47.60620513263742,-122.3186067225111,2021-07
47.60620513263742,-122.3186067225111,2021-07
47.60671715157635,-122.3179860586126,2022-08
47.60689631340657,-122.3179836483061,2022-08
47.60735199897768,-122.3179778772241,2022-08
47.60790048619741,-122.3185334351227,2022-08
47.60790048619741,-122.3185334351227,2022-08
47.60802928055051,-122.318550272307,2021-11
47.60819414996858,-122.3185311469691,2022-08
47.6085645690863,-122.3183828670736,2022-08
47.6085645690863,-122.3183828670736,2022-08
47.60924359400621,-122.3186981884048,2022-08
47.60943036236503,-122.3188351532134,2022-08
47.60970537316566,-122.3188347813658,2022-08
47.60973594897707,-122.3188972279456,2022-08
47.61040725057953,-122.3186635713382,2022-08
47.61040725057953,-122.3186635713382,2022-08
47.61040725057953,-122.3186635713382,2022-08
47.61105149808682,-122.3181129098156,2022-08
47.61114241665527,-122.3181149140408,2022-08
47.61190747691423,-122.3189890717943,2021-12
47.61200005082949,-122.3187681809806,2021-12
47.61204793636313,-122.3186541198556,2021-12
47.61235073195258,-122.3187651869016,2019-05
47.61243727642485,-122.3188389486626,2019-05
47.59495923869346,-122.3188834412067,2021-08
47.59510611651321,-122.3191062287815,2021-08
47.59528242292421,-122.3192947670385,2021-08
47.59565931913162,-122.3190224717525,2023-05
47.59581263742028,-122.3190152194276,2023-08
47.59619712847089,-122.3192627379353,2019-06
47.59638019676395,-122.3193080442864,2019-06
47.59663339912685,-122.319441153658,2019-06
47.59709204972206,-122.3186095365587,2019-05
47.59750550764594,-122.3190034101249,2021-07
47.59750550764594,-122.3190034101249,2021-07
47.59750550764594,-122.3190034101249,2021-07
47.59834414681129,-122.3190113081121,2021-12
47.59834414681129,-122.3190113081121,2021-12
47.59885798576724,-122.3189347999603,2019-06
47.59892177843255,-122.3190408885495,2019-06
47.5991936325931,-122.3190060460487,2023-02
47.59939394890246,-122.3189992899749,2021-11
47.59973455496234,-122.3190099621204,2021-11
47.60013727844341,-122.3188544996777,2023-02
47.60017748625998,-122.3189882327915,2023-02
47.60042380872245,-122.3192369213934,2023-02
47.60092600763482,-122.3190751017625,2021-07
47.60093065515004,-122.3189335089558,2021-07
47.601220241291,-122.3195262284589,2023-02
47.60169347905605,-122.3189338803749,2023-02
47.60169347905605,-122.3189338803749,2023-02
47.60223900695957,-122.3194377953039,2021-07
47.60250591824695,-122.3186746195544,2023-05
47.60269241495389,-122.3190073914001,2021-07
47.60291178867946,-122.319102851123,2023-05
47.60306107801762,-122.3192554697522,2023-05
47.60352009745986,-122.3189741817563,2019-05
47.60372677858088,-122.3187612475522,2019-05
47.60404389165034,-122.3187611385107,2019-05
47.60436156851947,-122.3189704857714,2019-05
47.60460634941222,-122.3187594807509,2019-05
47.60479290682436,-122.3187585186118,2019-05
47.60519991016392,-122.3190396632439,2019-05
47.60533480221914,-122.3187563474561,2019-05
47.60565176815933,-122.318756471832,2019-05
47.60585419246431,-122.318927810942,2019-05
47.6062060609074,-122.3190151275277,2021-07
47.6062060609074,-122.3190151275277,2021-07
47.60640423836152,-122.3194027115367,2017-07
47.60697859999986,-122.3189943,None
47.60724829999986,-122.3189943,None
47.60786705085766,-122.3192276980733,2021-11
47.60790950505486,-122.3191016857103,2021-11
47.6080311471932,-122.3190005685196,2022-08
47.60813874498015,-122.3190509910369,2022-08
47.60862522274933,-122.3194103733225,2022-08
47.60889946913679,-122.3194081715155,2022-08
47.60924364433169,-122.3189708664968,2022-08
47.60943036236503,-122.3188351532134,2022-08
47.60974039255613,-122.3190256459697,2022-08
47.60976886650666,-122.3191465192357,2022-08
47.61040926055058,-122.3189313630528,2022-08
47.61040926055058,-122.3189313630528,2022-08
47.61041022453644,-122.3190641938761,2022-08
47.6108698840112,-122.3181084602157,2022-08
