lat,lon,query_lat,query_lon,pano_id,date,status
40.4012051,-79.85518676737165,40.4012051,-79.85518676737165,None,None,ZERO_RESULTS
40.4012051,-79.85577627895275,40.4012051,-79.85577627895275,None,None,ZERO_RESULTS
40.4012051,-79.8548920115811,40.4012051,-79.8548920115811,None,None,ZERO_RESULTS
40.4012051,-79.85459725579055,40.4012051,-79.85459725579055,None,None,ZERO_RESULTS
40.4012051,-79.8554815231622,40.4012051,-79.8554815231622,None,None,ZERO_RESULTS
40.4012051,-79.85666054632439,40.4012051,-79.85666054632439,None,None,ZERO_RESULTS
40.4012051,-79.8543025,40.4012051,-79.8543025,None,None,ZERO_RESULTS
40.40116511824277,-79.8597332803388,40.4012051,-79.85960810422988,Bo04BAOCeEJT0-4bp-VwzQ,2023-07,
40.4012051,-79.8560710347433,40.4012051,-79.8560710347433,None,None,ZERO_RESULTS
40.40116534242157,-79.86426893466492,40.4012051,-79.86432419687866,eu_UJgw2E4TV4uq_HYl62A,2023-06,
40.40118829021181,-79.85762530738857,40.4012051,-79.85754481369604,X_yMK4wmMpfj8jCJvhF4gw,2023-06,
40.400990282489,-79.86305990542836,40.4012051,-79.86285041792591,UDvbToD8YQL9ErqvwqNsOg,2023-06,
40.40122043507342,-79.85900712669256,40.4012051,-79.85901859264878,7I2rPp7bwnCDo6i7YUIdAw,2023-06,
40.40127296962125,-79.86743516589208,40.4012051,-79.86756651057469,vO2VrQNwsfmopN_vazT-xw,2011-07,
40.40111969178541,-79.86326730793246,40.4012051,-79.86314517371646,9z1JlzLqoQlQNouA4l7Tqw,2023-06,
40.40110147476678,-79.85829284615349,40.4012051,-79.85813432527713,NtDmq21XPQHHzHOBMJGWlA,2023-06,
40.40122813261573,-79.86115283917907,40.4012051,-79.86108188318262,9rTXRPnm-5UHLQb0YRxx9g,2023-06,
40.40129471182704,-79.8641085350057,40.4012051,-79.8640294410881,oG-_vcIYFgrykmCmRzepSQ,2023-06,
40.40108655776722,-79.85917044127962,40.4012051,-79.85931334843933,MehFeA9of7HTvPMZPfkFHg,2023-06,
40.40110283462836,-79.86130871493569,40.4012051,-79.86137663897317,Ov1A8GCpfdop133uWI1NSA,2023-06,
40.40127509483182,-79.86029355203245,40.4012051,-79.86019761581097,8iQwj0hPtbtkFgi94zAYGA,2023-06,
40.40122049371419,-79.85846009326406,40.4012051,-79.85842908106768,xdHlynWJ9PmUCcNsh-HAVw,2023-06,
40.40114202654966,-79.86044686553939,40.4012051,-79.86049237160152,IDsX3DePlpzCFfaJjH_M0w,2023-06,
40.4012051,-79.8755249169195,40.4012051,-79.8755249169195,None,None,ZERO_RESULTS
40.4012051,-79.87257735901402,40.4012051,-79.87257735901402,None,None,ZERO_RESULTS
40.40125738625296,-79.8655879266537,40.4012051,-79.86550322004085,O8wo8e9xjor2KlnHYNNiTw,2023-06,
40.4012119585686,-79.86341591618394,40.4012051,-79.86343992950701,lRxI31Bno4UF_zUvlBhJTg,2023-06,
40.40181321985647,-79.88672132090473,40.40174449999999,-79.88672563696035,0nr-DkWwNPgxgo077YD20A,2014-08,
40.40121790659718,-79.86074998794832,40.4012051,-79.86078712739207,VV0PtWCjc-rF_3i_jk_1oA,2023-06,
40.40138856813044,-79.86542710212417,40.4012051,-79.8652084642503,i_-HCMeJ2hdGs78cZTqdWQ,2023-06,
40.40106967532298,-79.86359836472974,40.4012051,-79.86373468529756,M1BUYjDpP3zWbWOmU5xucw,2023-06,
40.40114479166488,-79.86980130511573,40.4012051,-79.86992455689908,Eflxu7vy9oqhzUImqYWqJQ,2023-07,
40.40134310666923,-79.85863229677925,40.4012051,-79.85872383685823,EVCe6gUEwR7fUYD90D9Teg,2023-06,
40.40129947928925,-79.86187658234334,40.4012051,-79.86167139476372,8ELZJeL6TnzZz_qwtu6g0g,2023-06,
40.40170108350458,-79.88706040567568,40.40174449999999,-79.8870203927509,aH71WvD1ldhL4FXzlMm0-w,2014-08,
40.40094000154428,-79.85728200709609,40.4012051,-79.85695530211494,cL2NZM2YwONWWwhbAGB5ew,2023-06,
40.4010646261888,-79.8574542983733,40.4012051,-79.85725005790549,alZnmSjLHvHpK7oqAoYDmA,2023-06,
40.4012242184033,-79.85981489426797,40.4012051,-79.85990286002043,7IW62gWO2WcdcXBBElusow,2023-07,
40.40103569456156,-79.86442967585265,40.4012051,-79.8646189526692,C4mDZlD18tkq8jcCsOYslA,2023-06,
40.4012051,-79.87906198640609,40.4012051,-79.87906198640609,None,None,ZERO_RESULTS
40.4012051,-79.87316687059511,40.4012051,-79.87316687059511,None,None,ZERO_RESULTS
40.4012051,-79.87699869587225,40.4012051,-79.87699869587225,None,None,ZERO_RESULTS
40.4012051,-79.8749354053384,40.4012051,-79.8749354053384,None,None,ZERO_RESULTS
40.4012051,-79.87758820745334,40.4012051,-79.87758820745334,None,None,ZERO_RESULTS
40.4012051,-79.8761144285006,40.4012051,-79.8761144285006,None,None,ZERO_RESULTS
40.40168954260686,-79.88771652971342,40.40174449999999,-79.887609904332,kPWgWdVkqIVNI4_Z5ui67A,2022-11,
40.4012051,-79.87817771903444,40.4012051,-79.87817771903444,None,None,ZERO_RESULTS
40.4012051,-79.87375638217621,40.4012051,-79.87375638217621,None,None,ZERO_RESULTS
40.4012051,-79.87523016112895,40.4012051,-79.87523016112895,None,None,ZERO_RESULTS
40.40119509901259,-79.86572935287047,40.4012051,-79.8657979758314,5t2m64yauNm_yPtzWR1lug,2023-06,
