street_edge_id,region_id,x1,y1,x2,y2,geom
3127,"EJIDO LOS MORENO",-102.0243569,20.3307042,-102.0253193,20.3307492,0102000020E6100000020000004A5DD7D49E8159C09C2DC5FAAB543440A53B3E108F8159C05CA6CB07A9543440
3128,"EJIDO LOS MORENO",-102.0231958,20.3306053,-102.0243569,20.3307042,0102000020E610000002000000A53B3E108F8159C05CA6CB07A9543440E4993C0A7C8159C05F62878CA2543440
3129,"EJIDO LOS MORENO",-102.0221566,20.3305761,-102.0231958,20.3306053,0102000020E610000002000000E4993C0A7C8159C05F62878CA2543440FF1884036B8159C0D756A2A2A0543440
3130,"EJIDO LOS MORENO",-102.0210711,20.3304489,-102.0219355,20.3305643,0102000020E610000002000000C5C72764678159C0A2B9A9DC9F5434400259993A598159C0CA7F924C98543440
3131,"EJIDO LOS MORENO",-102.0206215,20.3303916,-102.0210711,20.3304489,0102000020E6100000020000000259993A598159C0CA7F924C985434400C06D7DC518159C084DF3C8B94543440
3132,"EJIDO LOS MORENO",-102.02054315964808,20.330380582522945,-102.0206215,20.3303916,0102000020E6100000020000000C06D7DC518159C084DF3C8B9454344015B64194508159C0632B65D293543440
3133,CAMPESTRE,-102.0200692,20.3302691,-102.02054315964808,20.330380582522945,0102000020E61000000300000015B64194508159C0632B65D2935434406116DA394D8159C0BB2C81EF915434400A6A53D0488159C01D6107848C543440
3134,"EJIDO LOS MORENO",-102.0259987,20.3299429,-102.0265949,20.3298554,0102000020E610000002000000636F18BBB38159C0B4684B6771543440448F73F6A98159C0220C4D2377543440
3135,"EJIDO LOS MORENO",-102.0254225,20.3300275,-102.0259987,20.3299429,0102000020E610000002000000448F73F6A98159C0220C4D23775434404985B185A08159C0D847A7AE7C543440
3136,"EJIDO LOS MORENO",-102.0236156,20.3303038,-102.0239727,20.3302447,0102000020E610000002000000CC9FCAC4888159C0662DAAEA8A5434403A6B01EB828159C099BE32CA8E543440
3137,"EJIDO LOS MORENO",-102.025354,20.3300368,-102.0254225,20.3300275,0102000020E6100000020000004985B185A08159C0D847A7AE7C543440A83462669F8159C0FB79AE4A7D543440
3138,"EJIDO LOS MORENO",-102.0232023,20.3303666,-102.0236156,20.3303038,0102000020E6100000020000003A6B01EB828159C099BE32CA8E54344049EC7F257C8159C0D3B0CEE792543440
3139,"EJIDO LOS MORENO",-102.0221566,20.3305761,-102.0232023,20.3303666,0102000020E61000000200000049EC7F257C8159C0D3B0CEE792543440FF1884036B8159C0D756A2A2A0543440
3140,"EJIDO LOS MORENO",-102.024651,20.3301408,-102.025354,20.3300368,0102000020E610000002000000A83462669F8159C0FB79AE4A7D54344014B4C9E1938159C04513831B84543440
3141,"EJIDO LOS MORENO",-102.0243718,20.3301866,-102.024651,20.3301408,0102000020E61000000200000014B4C9E1938159C04513831B8454344075FCBC4E8F8159C0D393E81B87543440
3142,"EJIDO LOS MORENO",-102.0239727,20.3302447,-102.0243718,20.3301866,0102000020E61000000200000075FCBC4E8F8159C0D393E81B87543440CC9FCAC4888159C0662DAAEA8A543440
3143,"EJIDO LOS MORENO",-102.0263543,20.3288229,-102.0259987,20.3299429,0102000020E610000003000000448F73F6A98159C0220C4D23775434404D6D043DAF8159C070743A353C543440F926F2C9AF8159C006ADD1BC2D543440
